LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,RH2M,T2M,PRECTOT
20.29761,40.29581,2016,4,29,120,2016-04-29,86.56,11.57,6.18
20.29761,40.29581,2016,4,30,121,2016-04-30,73.54,14.02,0.04
20.29761,40.29581,2016,5,1,122,2016-05-01,75.87,12.98,4.48
20.29761,40.29581,2016,5,2,123,2016-05-02,84.65,11.41,22.99
20.29761,40.29581,2016,5,3,124,2016-05-03,84.57,8.69,5.81
20.29761,40.29581,2016,5,4,125,2016-05-04,83.77,9.32,2.59
20.29761,40.29581,2016,5,5,126,2016-05-05,69.21,11.41,0.28
20.29761,40.29581,2016,5,6,127,2016-05-06,67.68,12.59,1.28
20.29761,40.29581,2016,5,7,128,2016-05-07,68.29,13.29,2.29
20.29761,40.29581,2016,5,8,129,2016-05-08,67.89,14.18,0.08
20.29761,40.29581,2016,5,9,130,2016-05-09,69.87,14.47,0.07
20.29761,40.29581,2016,5,10,131,2016-05-10,71.23,15.26,0
20.29761,40.29581,2016,5,11,132,2016-05-11,69.45,15.47,0.81
20.29761,40.29581,2016,5,12,133,2016-05-12,89.62,14.77,9.03
20.29761,40.29581,2016,5,13,134,2016-05-13,77.63,13.84,0.62
20.29761,40.29581,2016,5,14,135,2016-05-14,81.11,12.82,0.08
20.29761,40.29581,2016,5,15,136,2016-05-15,87.73,12.48,5.11
20.29761,40.29581,2016,5,16,137,2016-05-16,78.6,12.86,0.39
20.29761,40.29581,2016,5,17,138,2016-05-17,73.56,12.36,0.37
20.29761,40.29581,2016,5,18,139,2016-05-18,71.47,13.12,0.22
20.29761,40.29581,2016,5,19,140,2016-05-19,78.98,12.88,0.07
20.29761,40.29581,2016,5,20,141,2016-05-20,89.93,12.15,32.82
20.29761,40.29581,2016,5,21,142,2016-05-21,83.98,13.27,17.49
20.29761,40.29581,2016,5,22,143,2016-05-22,70.88,15.56,0.02
20.29761,40.29581,2016,5,23,144,2016-05-23,71.74,15.66,0
20.29761,40.29581,2016,5,24,145,2016-05-24,72.53,13.22,0.35
20.29761,40.29581,2016,5,25,146,2016-05-25,77.91,12.42,0.33
20.29761,40.29581,2016,5,26,147,2016-05-26,74.08,15.04,0
20.29761,40.29581,2016,5,27,148,2016-05-27,67.3,18.45,0
20.29761,40.29581,2016,5,28,149,2016-05-28,61.95,19.92,0
20.29761,40.29581,2016,5,29,150,2016-05-29,61.49,18.19,0
20.29761,40.29581,2016,5,30,151,2016-05-30,63.98,18.42,0.05
20.29761,40.29581,2016,5,31,152,2016-05-31,65.94,18.05,0.01
20.29761,40.29581,2016,6,1,153,2016-06-01,63.9,17.5,0.6
20.29761,40.29581,2016,6,2,154,2016-06-02,71.37,16.53,0.1
20.29761,40.29581,2016,6,3,155,2016-06-03,71.55,16.25,0.01
20.29761,40.29581,2016,6,4,156,2016-06-04,69.68,16.49,0.02
20.29761,40.29581,2016,6,5,157,2016-06-05,68.21,17.24,0.74
20.29761,40.29581,2016,6,6,158,2016-06-06,72.81,17.34,0.02
20.29761,40.29581,2016,6,7,159,2016-06-07,73.16,17.59,0.51
20.29761,40.29581,2016,6,8,160,2016-06-08,68.14,17.83,0.88
