Land,Bevölkerung,Dichte,BIP
Ägypten,93400000,93,13.358
Argentinien,44300000,16,20.551
Australien,24500000,3,52.379
Bahrain,1500000,1974,50.048
Belgien,11300000,367,48.327
Brasilien,207900000,24,16.146
Bulgarien,7100000,64,23.169
Chile,18400000,24,25.7
"China, Volksrepublik",1386800000,145,18.116
Dänemark,5748769,1280,52.279
Deutschland,83100000,231,52.386
Estland,1300000,29,34.156
Finnland,5500000,16,46.596
Frankreich,65000000,118,45.893
Griechenland,10700000,81,29.072
Indien,1352600000,411,7.859
Indonesien,264000000,139,13.234
Irland,4800000,68,79.617
Island,350000,3,55.941
Israel,8600000,384,37.994
Italien,60500000,201,39.675
Japan,126700000,335,44.246
Kanada,36700000,4,49.69
Katar,2700000,233,129.638
Kroatien,4100000,72,26.256
Kuwait,4100000,230,66.652
Lettland,1900000,29,29.912
Litauen,2800000,43,34.597
Luxemburg,600000,232,106.371
Malaysia,31600000,96,31.311
Malta,438000,1386,45.165
Mexiko,129200000,66,20.616
Neuseeland und Ozeanien,4800000,18,40.095
Niederlande,17100000,412,56.489
Norwegen,5300000,16,74.357
Oman,4700000,15,47.933
Österreich,8800000,105,52.172
Philippinen,105000000,351,8.943
Polen,38400000,123,32.005
Portugal,10300000,112,32.412
Rumänien,19600000,82,26.448
Russland,144500000,8,28.797
Saudi Arabien,32600000,15,55.73
Schweden,10100000,22,53.652
Serbien,7000000,90,17.552
Singapur,5700000,8178,101.386
Slowakei,5400000,110,35.136
Slowenien,2100000,104,36.741
Spanien,46600000,92,40.172
Thailand,66100000,129,19.484
Tschechische Republik,10600000,134,37.34
Türkei,80900000,103,28.044
Ukraine,42300000,70,9.287
Ungarn,9800000,105,31.914
Vereinigte Arabische Emirate,9400000,112,69.222
Vereinigte Staaten,325400000,33,62.869
Vereinigtes Königreich,66200000,272,45.741
Weissrussland,9500000,46,19.941
Zypern,1200000,130,39.987
