Land,Bevölkerung,Dichte,lo20,hi65,Erwerbsquote,BIP,Motorisierung,Äquivalenzeinkommen
Belgien,11311.117,371.8,22.59882,18.23783,67.6,34300,497,20820
Bulgarien,7153.784,66.2,18.32956,20.43375,68.7,14200,442,6744
Tschechische Republik,10553.843,136.6,19.72475,18.31003,75,25600,485,12514
Dänemark,5707.251,132.4,22.97495,18.82556,80,36100,419,21120
Deutschland,82175.684,228.6,18.34008,21.05267,77.9,36000,540,21210
Estland,1315.944,30.3,20.62269,19.02247,77.5,21900,514,11860
Irland,4724.72,67.9,28.03569,13.21608,70.5,53300,436,20750
Griechenland,10783.748,81.9,19.395,21.26212,68.2,19700,375,8828
Spanien,46440.099,92.5,19.83422,18.72124,74.2,26700,481,15175
Frankreich,66759.95,105.3,24.57158,18.81332,71.4,30400,484,20750
Italien,60665.551,201,18.40156,22.03846,64.9,28200,615,16232
Zypern,848.319,92,22.54871,15.11695,73.4,24100,575,15985
Lettland,1968.957,31.8,19.63176,19.634,76.3,18800,345,9198
Litauen,2888.558,46.4,20.2831,18.98965,75.5,22000,431,9279
Luxemburg,576.249,220.3,22.22598,14.2225,70,75100,647,28071
Ungarn,9830.485,105.8,19.62915,18.27559,70.1,19700,325,8387
Malta,434.403,1369.5,19.7181,19.04706,69.1,27900,634,16925
Niederlande,16979.12,502.9,22.48938,18.17119,79.7,37200,477,20994
Österreich,8690.076,104.8,19.62842,18.47152,76.2,37200,546,22524
Polen,37967.209,124.1,20.2072,15.95976,68.8,19900,546,10850
Portugal,10341.33,112.3,19.54483,20.70163,73.7,22500,485,10714
NA,19760.314,86.1,20.99193,17.39051,65.6,16900,261,4794
Slowenien,2064.188,102.4,19.42866,18.41412,71.6,24100,523,15500
Slowakei,5426.252,110.6,20.60376,14.4471,71.9,22400,375,10507
Finnland,5487.308,18,21.81751,20.46729,75.9,31900,592,19766
Schweden,9851.017,24.1,22.73486,19.76676,82.1,36000,474,20706
Vereinigtes Königreich,65382.556,268.6,23.52611,17.93429,77.3,31300,467,17521
Norwegen,5210.721,17.1,24.18552,16.40681,78,43300,497,28616
Island,332.529,3.3,26.66264,13.85533,89.3,37200,474,28616
Kroatien,4190.669,74.4,20.21431,19.2066,65.6,17400,358,8829
Bosnien und Herzegowina,2064.188,268.6,18.40156,15.89275,70.1,9300,419,6744
Montenegro,622.218,45,25.00297,14.06533,77.3,13000,431,15175
Nordmazedonien,2071.278,83.1,22.8542,12.98701,64.5,10900,358,8387
Serbien,7076.372,45,19.44994,18.98456,69.1,10700,325,5257
Liechtenstein,37.622,234.3,20.5518,16.47706,65.6,31300,436,15175
Türkei,78741.053,101.6,32.34872,8.24886,56.9,18800,134,20994
Moldawien (Republik Moldau),65382.556,136.6,19.7181,19.634,71.9,13000,442,8387
Russland,5487.308,104.8,24.18552,18.98456,82.1,30400,467,20750
Ukraine,42590.879,268.6,19.88306,15.89275,75.5,19700,474,10714
NA,9498.364,220.3,21.12459,14.44155,70,24100,474,15500
Armenien,2998.577,45,25.63052,10.94953,69.1,25600,345,15175
Aserbaidschan,9705.643,18,29.6721,6.156645,69.1,31900,261,20706
Georgien,3720.4,92,25.01344,14.36673,77.3,28200,375,19766
San Marino,9705.643,110.6,25.63052,14.06533,69.1,19700,261,11860
Albanien,2886.026,105.5,25.75625,12.85765,69.1,8500,431,15500
